,approach_approaches_approached_,break_broke_breaks_,clean_cleaned_cleans_,drive_drove_drives_,eat_ate_eats_,enter_entered_enters_,fear_fears_feared_,fill_filled_fills_,hear_hears_heard_,lift_lifted_lifts_,listen_listens_listened_,manipulate_manipulates_manipulated_,move_moved_moves_,neared_nears_near_,open_opens_opened_,push_pushed_pushes_,ride_rides_rode_,rub_rubbed_rubs_,run_ran_runs_,say_said_says_,see_sees_,smell_smells_smelled_,taste_tasted_tastes_,touch_touched_touches_,wear_wore_wears_
bear,0.041,0.069,0.024,0.085,0.158,0.054,0.013,0.031,0.143,0.018,0.041,0,0.054,0.167,0.19,0.011,0.079,0.018,0.181,0.52,0.52,0.018,0.486,0.07,0.214
cat,0.028,0.033,0.146,0.053,0.435,0.068,0.041,0.031,0.208,0.041,0.075,0.002,0.088,0.069,0.175,0.031,0.052,0.022,0.303,0.592,0.449,0.163,0.027,0.075,0.048
cow,0.014,0.027,0.039,0.042,0.421,0.043,0.367,0.048,0.061,0.013,0.023,0,0.045,0.115,0.056,0.009,0.067,0.04,0.261,0,0.205,0.073,0.027,0.08,0.025
dog,0.031,0.06,0.072,0.042,0.742,0.078,0.015,0.02,0.075,0.014,0.022,0,0.079,0.097,0.105,0.011,0.054,0.004,0.301,0.294,0.46,0.062,0.018,0.023,0.049
horse,0.012,0.039,0.01,0.05,0.082,0.034,0.023,0.017,0.03,0.009,0.003,0,0.054,0.053,0.092,0.012,0.961,0.002,0.128,0.119,0.123,0.017,0.005,0.013,0.052
arm,0.019,0.432,0.021,0.071,0.008,0.024,0.005,0.026,0.007,0.548,0.006,0.003,0.441,0.079,0.147,0.084,0.01,0.03,0.103,0.45,0.132,0.001,0.002,0.206,0.048
eye,0.009,0.027,0.095,0.007,0.011,0.034,0.022,0.042,0.011,0.105,0.004,0.001,0.042,0.059,0.328,0.008,0.325,0.011,0.025,0.187,0.794,0.003,0.006,0.029,0.3
foot,0.054,0.481,0.032,0.097,0.016,0.038,0.034,0.039,0.036,0.229,0.001,0,0.282,0.212,0.388,0.092,0.051,0.105,0.131,0.243,0.265,0.009,0.007,0.153,0.478
hand,0.031,0.068,0.069,0.262,0.028,0.061,0.029,0.077,0.082,0.153,0.008,0.01,0.319,0.173,0.309,0.11,0.016,0.166,0.205,0.508,0.47,0.006,0.009,0.299,0.031
leg,0.008,0.821,0.018,0.047,0.011,0.013,0.001,0.01,0.003,0.427,0,0,0.125,0.031,0.279,0.038,0.011,0.034,0.111,0.129,0.07,0.003,0.001,0.046,0.091
apartment,0.009,0.064,0.238,0.07,0.012,0.21,0.002,0.08,0.021,0.024,0.004,0,0.654,0.619,0.122,0.002,0.007,0,0.075,0.093,0.2,0.036,0,0.002,0
barn,0.009,0.008,0.054,0.037,0.006,0.099,0.002,0.094,0.021,0.025,0.003,0,0.055,0.436,0.485,0,0.041,0.001,0.092,0.71,0.148,0.025,0,0.004,0.104
church,0.033,0.042,0.018,0.099,0.005,0.153,0.025,0.071,0.101,0.004,0.025,0,0.112,0.325,0.265,0.005,0.019,0,0.143,0.762,0.395,0.001,0.001,0.01,0.022
house,0.016,0.108,0.166,0.058,0.018,0.114,0.011,0.044,0.035,0.007,0.013,0.001,0.224,0.21,0.837,0.009,0.013,0,0.223,0.27,0.148,0.012,0.002,0.005,0.011
igloo,0,0,0,0,0.564,0.181,0,0.067,0,0,0,0,0,0.067,0.649,0,0,0,0,0.204,0.42,0,0,0,0
